x,y
10.91341667,75.91908333
10.91628667,75.91840167
10.91779333,75.91814833
10.92029333,75.91669167
10.92080333,75.91603167
10.92206833,75.91435333
10.929245,75.91021667
10.929245,75.91021667
10.93429833,75.90749
10.93748333,75.90707333
10.93838833,75.90676
10.94149333,75.90651667
10.94721833,75.902865
10.948585,75.90143167
10.94975333,75.90070333
10.95246167,75.89886667
10.95296833,75.89851167
10.955715,75.89678833
10.96319667,75.89066833
10.924425,75.913005
10.96759833,75.88473833
10.96759833,75.88473833
10.97194667,75.88273333
10.9736,75.88167667
10.97194667,75.88273333
10.97523167,75.87906
10.97523167,75.87906
10.97591,75.87847333
10.96493833,75.88686833
10.97676667,75.87821333
10.97676667,75.87821333
10.97710833,75.87819167
10.979185,75.87730833
10.98199667,75.87557167
10.98257833,75.87534833
10.99242167,75.873415
10.99627333,75.87277333
11.003235,75.873595
11.00448833,75.87328
11.00713667,75.87270667
11.00713667,75.87270667
11.01270167,75.87163167
11.01857333,75.86999167
11.01978,75.86960667
11.02168667,75.86915
11.02983667,75.86747333
11.03483667,75.86571333
11.03911,75.8633
11.05103667,75.85665
11.051505,75.856405
11.05305667,75.85573167
11.05677667,75.85504
11.05836167,75.85554667
11.06025833,75.855025
11.06287667,75.85470667
11.06554,75.85511667
11.06909833,75.85389333
11.07794,75.85119333
11.07891,75.85077333
11.08293167,75.84881667
11.08726333,75.84473
11.09277167,75.84330333
11.09566,75.84197333
11.09804333,75.84116667
11.100445,75.84051833
11.10331,75.83979
11.10772,75.837475
11.10878167,75.83687833
11.10878167,75.83687833
11.11363333,75.832595
11.11479667,75.83182
11.129905,75.82337
11.129905,75.82337
11.13675333,75.82069333
11.13675333,75.82069333
11.13809167,75.82021667
11.13809167,75.82021667
11.15416833,75.81257833
10.98199667,75.87557167
11.16972833,75.81897
11.16999,75.81937667
11.1729,75.8251
11.17365667,75.826445
11.17735167,75.82795167
11.17828333,75.82810333
11.189505,75.82934667
11.189805,75.82898333
11.192,75.82688333
11.192,75.82688333
11.19663667,75.81782
11.19663667,75.81782
11.19663667,75.81782
11.19734167,75.81773
11.19734167,75.81773
11.20205333,75.81551333
11.203615,75.81396333
11.205675,75.81168
11.20702333,75.80952667
11.20909667,75.80824167
11.212905,75.80558833
11.22021833,75.79332
11.22537667,75.79166833
11.23044,75.79005167
11.23278833,75.78936667
11.23464,75.789085
11.26383167,75.77736
11.28150833,75.77223667
